OBJECTID,TOWNS,COUNTY,ZIPCODE,LATITUDE,LONGITUDE,REGION
1,Avenel,Middlesex,7001,,,CENTRAL
2,Carteret,Middlesex,7008,,.,CENTRAL
3,Port Reading,Middlesex,7064,,,CENTRAL
4,Colonia,Middlesex,7067,,,CENTRAL
5,Sewaren,Middlesex,7077,,,CENTRAL
6,South Plainfield,Middlesex,7080,,,CENTRAL
7,Woodbridge,Middlesex,7095,,,CENTRAL
8,Cranbury,Middlesex,8512,,,CENTRAL
9,Plainsboro,Middlesex,8536,,,CENTRAL
10,Dayton,Middlesex,8810,,,CENTRAL
11,Dunellen,Middlesex,8812,,,CENTRAL
12,East Brunswick,Middlesex,8816,,,CENTRAL
13,Edison,Middlesex,8817,,,CENTRAL
14,Edison,Middlesex,8818,,,CENTRAL
15,Edison,Middlesex,8820,,,CENTRAL
16,Kendall Park,Middlesex,8824,,,CENTRAL
17,Helmetta,Middlesex,8828,,,CENTRAL
18,Iselin,Middlesex,8830,,,CENTRAL
19,Monroe Township,Middlesex,8831,,,CENTRAL
20,Keasbey,Middlesex,8832,,,CENTRAL
21,Edison,Middlesex,8837,,,CENTRAL
22,Metuchen,Middlesex,8840,,,CENTRAL
23,Middlesex,Middlesex,8846,,,CENTRAL
24,Milltown,Middlesex,8850,,,CENTRAL
25,Monmouth Junction,Middlesex,8852,,,CENTRAL
26,Piscataway,Middlesex,8854,,,CENTRAL
27,Piscataway,Middlesex,8855,,,CENTRAL
28,Old Bridge,Middlesex,8857,,,CENTRAL
29,Parlin,Middlesex,8859,,,CENTRAL
30,Perth Amboy,Middlesex,8861,,,CENTRAL
31,Perth Amboy,Middlesex,8862,,,CENTRAL
32,Fords,Middlesex,8863,,,CENTRAL
33,Sayreville,Middlesex,8871,,,CENTRAL
34,Sayreville,Middlesex,8872,,,CENTRAL
35,South Amboy,Middlesex,8879,,,CENTRAL
36,South River,Middlesex,8882,,,CENTRAL
37,Spotswood,Middlesex,8884,,,CENTRAL
38,Edison,Middlesex,8899,,,CENTRAL
39,New Brunswick,Middlesex,8901,,,CENTRAL
40,North Brunswick,Middlesex,8902,,,CENTRAL
